FullVersion,MajorVersion,ServicePack,CumulativeUpdate
10.00.1600,2008,0,
10.00.2531,2008,1,
10.00.4000,2008,2,
10.00.5500,2008,3,
10.00.5512,2008,3,
10.00.5520,2008,3,
10.00.5538,2008,3,
10.00.5545,2008,3,
10.00.5766,2008,3,1
10.00.5768,2008,3,2
10.00.5770,2008,3,3
10.00.5775,2008,3,4
10.00.5785,2008,3,5
10.00.5788,2008,3,6
10.00.5794,2008,3,7
10.00.5826,2008,3,
10.00.5828,2008,3,8
10.00.5829,2008,3,9
10.00.5835,2008,3,10
10.00.5841,2008,3,11
10.00.5844,2008,3,12
10.00.5846,2008,3,13
10.00.5848,2008,3,14
10.00.5850,2008,3,15
10.00.5852,2008,3,16
10.00.5861,2008,3,17
10.00.5869,2008,3,
10.00.5890,2008,3,
10.00.5896,2008,3,
10.00.6000,2008,4,
10.00.6241,2008,4,
10.00.6526,2008,4,
10.00.6535,2008,4,
10.00.6547,2008,4,
10.00.6556,2008,4,
10.50.1600.1,2008R2,0,
10.50.2500.0,2008R2,1,
10.50.4000.0,2008R2,2,
10.50.4033,2008R2,2,
10.50.4042,2008R2,2,
10.50.4047,2008R2,2,
10.50.4260,2008R2,2,1
10.50.4263,2008R2,2,2
10.50.4266,2008R2,2,3
10.50.4270,2008R2,2,4
10.50.4276,2008R2,2,5
10.50.4285,2008R2,2,6
10.50.4286,2008R2,2,7
10.50.4290,2008R2,2,8
10.50.4295,2008R2,2,9
10.50.4297,2008R2,2,10
10.50.4302,2008R2,2,11
10.50.4305,2008R2,2,12
10.50.4319,2008R2,2,13
10.50.4331,2008R2,2,
10.50.4339,2008R2,2,
10.50.4344,2008R2,2,
10.50.6000.34,2008R2,3,
10.50.6220.0,2008R2,3,
10.50.6525.0,2008R2,3,
10.50.6529.0,2008R2,3,
10.50.6542.0,2008R2,3,
10.50.6560.0,2008R2,3,
11.0.2100,2012,0,
11.0.2218,2012,0,
11.0.2316,2012,0,1
11.0.2325,2012,0,2
11.0.2332,2012,0,3
11.0.2376,2012,0,
11.0.2383,2012,0,4
11.0.2395,2012,0,5
11.0.2401,2012,0,6
11.0.2405,2012,0,7
11.0.2410,2012,0,8
11.0.2419,2012,0,9
11.0.2420,2012,0,10
11.0.2424,2012,0,11
11.0.3000,2012,1,
11.0.3128,2012,1,
11.0.3153,2012,1,
11.0.3156,2012,1,
11.0.3321,2012,1,1
11.0.3339,2012,1,2
11.0.3349,2012,1,3
11.0.3368,2012,1,4
11.0.3373,2012,1,5
11.0.3381,2012,1,6
11.0.3393,2012,1,7
11.0.3401,2012,1,8
11.0.3412,2012,1,9
11.0.3431,2012,1,10
11.0.3437,2012,1,
11.0.3449,2012,1,11
11.0.3460,2012,1,
11.0.3467,2012,0,
11.0.3470,2012,1,12
11.0.3482,2012,1,13
11.0.3486,2012,1,14
11.0.3487,2012,1,15
11.0.3492,2012,1,16
11.0.3513,2012,1,
11.0.5058,2012,2,
11.0.5343,2012,2,
11.0.5352,2012,2,
11.0.5388.0,2012,2,
11.0.5522,2012,2,
11.0.5532,2012,2,1
11.0.5548,2012,2,2
11.0.5556,2012,2,3
11.0.5569,2012,2,4
11.0.5571,2012,0,
11.0.5582,2012,2,5
11.0.5592,2012,2,6
11.0.5613,2012,2,
11.0.5623,2012,2,7
11.0.5634.1,2012,2,8
11.0.5641,2012,2,9
11.0.5644.2,2012,2,10
11.0.5646.0,2012,2,11
11.0.5649.0,2012,2,12
11.0.5655.0,2012,2,13
11.0.5657.0,2012,2,14
11.0.5676.0,2012,2,15
11.0.5678.0,2012,2,16
11.0.6020,2012,3,
11.0.6216.27,2012,3,
11.0.6248.0,2012,3,
11.0.6251.0,2012,3,
11.0.6260.1,2012,3,
11.0.6518.0,2012,3,1
11.0.6523.0,2012,3,2
11.0.6537.0,2012,3,3
11.0.6540.0,2012,3,4
11.0.6544.0,2012,3,5
11.0.6567.0,2012,3,6
11.0.6579.0,2012,3,7
11.0.6594.0,2012,3,8
11.0.6598.0,2012,3,9
11.0.6607.3,2012,3,10
11.0.6615.2,2012,3,
11.0.7001.0,2012,4,
11.0.7462.6,2012,4,
11.0.7469.6,2012,4,
12.0.2000.0,2014,0,
12.0.2254.0,2014,0,
12.0.2269.0,2014,0,
12.0.2271.0,2014,0,
12.0.2342.0,2014,0,1
12.0.2370.0,2014,0,2
12.0.2381.0,2014,0,
12.0.2402.0,2014,0,3
12.0.2430.0,2014,0,4
12.0.2456.0,2014,0,5
12.0.2474.0,2014,0,
12.0.2480.0,2014,0,6
12.0.2495.0,2014,0,7
12.0.2546.0,2014,0,8
12.0.2548.0,2014,0,
12.0.2553.0,2014,0,9
12.0.2556.4,2014,0,10
12.0.2560.0,2014,0,11
12.0.2564.0,2014,0,12
12.0.2568.0,2014,0,13
12.0.2569.0,2014,0,14
12.0.4050.0,2014,1,
12.0.4100.1,2014,1,
12.0.4213.0,2014,1,
12.0.4219.0,2014,1,
12.0.4232.0,2014,1,
12.0.4237.0,2014,1,
12.0.4416.0,2014,1,1
12.0.4422.0,2014,1,2
12.0.4427.24,2014,1,3
12.0.4436.0,2014,1,4
12.0.4437.0,2014,1,4
12.0.4439.1,2014,1,5
12.0.4457.0,2014,1,6
12.0.4459.0,2014,1,7
12.0.4463.0,2014,0,
12.0.4468.0,2014,1,8
12.0.4474.0,2014,1,9
12.0.4487.0,2014,1,
12.0.4491.0,2014,1,10
12.0.4502.0,2014,1,11
12.0.4511.0,2014,1,12
12.0.4522.0,2014,1,13
12.0.5000.0,2014,2,
12.0.5203.0,2014,2,
12.0.5207.0,2014,2,
12.0.5214.6,2014,2,
12.0.5511.0,2014,2,1
12.0.5522.0,2014,2,2
12.0.5532.0,2014,2,
12.0.5538.0,2014,2,3
12.0.5540.0,2014,2,4
12.0.5546.0,2014,2,5
12.0.5553.0,2014,2,6
12.0.5556.0,2014,2,7
12.0.5557.0,2014,2,8
12.0.5563.0,2014,2,9
12.0.5571.0,2014,2,10
12.0.5579.0,2014,2,11
12.0.5589.7,2014,2,12
12.0.5590.1,2014,2,13
12.0.5600.1,2014,2,14
12.0.6024.0,2014,3,
13.0.1300.275,2016,0,
13.0.1400.361,2016,0,
13.0.1708.0,2016,0,
13.0.1711.0,2016,0,
13.0.1722.0,2016,0,
13.0.1728.2,2016,0,
13.0.1742.0,2016,0,
13.0.1745.2,2016,0,
13.0.2149.0,2016,0,1
13.0.2164.0,2016,0,2
13.0.2169.0,2016,0,2
13.0.2170.0,2016,0,2
13.0.2186.6,2016,0,3
13.0.2193.0,2016,0,4
13.0.2197.0,2016,0,5
13.0.2204.0,2016,0,6
13.0.2210.0,2016,0,7
13.0.2213.0,2016,0,8
13.0.2216.0,2016,0,9
13.0.2218.0,2016,0,
13.0.4001.0,2016,1,
13.0.4199.0,2016,1,
13.0.4202.2,2016,1,
13.0.4206.0,2016,1,
13.0.4210.6,2016,1,
13.0.4224.16,2016,1,
13.0.4411.0,2016,1,1
13.0.4422.0,2016,1,2
13.0.4435.0,2016,1,3
13.0.4446.0,2016,1,4
13.0.4451.0,2016,1,5
13.0.4457.0,2016,1,6
13.0.4466.4,2016,1,7
13.0.4474.0,2016,1,8
13.0.4502.0,2016,1,9
13.0.4514.0,2016,1,10
13.0.4522.0,2016,1,
13.0.4528.0,2016,1,11
13.0.4541.0,2016,1,12
13.0.5026.0,2016,2,
13.0.5081.1,2016,2,
13.0.5149.0,2016,2,1
13.0.5153.0,2016,2,2
13.0.5201.1,2016,2,
13.0.5216.0,2016,2,3
13.0.5233.0,2016,2,4
14.0.1.246,2017,0,
14.0.100.187,2017,0,
14.0.1000.169,2017,0,
14.0.200.24,2017,0,
14.0.2000.63,2017,0,
14.0.2002.14,2017,0,
14.0.3006.16,2017,0,1
14.0.3008.27,2017,0,2
14.0.3015.40,2017,0,3
14.0.3022.28,2017,0,4
14.0.3023.8,2017,0,5
14.0.3025.34,2017,0,6
14.0.3026.27,2017,0,7
14.0.3029.16,2017,0,8
14.0.3030.27,2017,0,9
14.0.3035.2,2017,0,
14.0.3037.1,2017,0,10
14.0.3038.14,2017,0,11
14.0.304.138,2017,0,
14.0.3045.24,2017,0,12
14.0.405.198,2017,0,
14.0.500.272,2017,0,
14.0.600.250,2017,0,
14.0.800.90,2017,0,
14.0.900.75,2017,0,
